Rank,Team Conference,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Luck,Luck_Rank,SOS_AdjEM,SOS_AdjEM_Rank,OppO,OppO_Rank,OppD,OppD_Rank,NCSOS_AdjEM,NCSOS_AdjEM_Rank,Year
173,Florida Gulf,Coast,ASun,18-14,-0.77,108.1,147,108.9,219,65.2,292,-.026,254,-3.89,270,105.6,224,109.5,296,+3.30,86
174,Sam Houston,St.,CUSA,13-19,-0.78,110.4,102,111.2,266,67.6,158,-.040,282,+4.32,95,107.3,141,102.9,69,+7.13,38
175,Illinois Chicago,MVC,17-14,-0.81,107.0,173,107.8,196,69.1,74,+.066,44,+1.35,121,107.3,139,105.9,127,+2.39,106
176,East Carolina,Amer,19-14,-0.97,107.0,174,108.0,200,66.6,215,+.039,81,-1.04,166,107.0,151,108.0,204,-5.27,319
177,177,Oakland,Horz,16-18,-1.28,107.2,167,108.5,210,63.9,338,-.007,196,-0.12,155,107.5,127,107.6,182,+13.77,5
178,178,Princeton,Ivy,19-11,-1.43,105.3,208,106.8,174,66.5,220,+.118,10,-0.97,165,107.2,143,108.1,214,+0.04,170
179,179,Jacksonville,ASun,19-13,-1.49,101.8,260,103.3,100,67.4,170,+.062,47,-2.58,218,107.3,135,109.9,320,+6.70,43
180,Norfolk St.,MEAC,24-10,-1.50,107.2,166,108.7,214,66.4,226,+.056,57,-7.18,325,103.1,306,110.3,336,+3.09,90
181,Eastern Kentucky,ASun,18-14,-1.69,109.7,114,111.4,269,67.6,156,+.019,126,-2.87,230,105.9,209,108.8,240,+4.58,61
182,Boston College,ACC,12-19,-1.81,105.4,206,107.2,185,66.8,212,+.018,133,+5.41,88,109.6,86,104.2,90,-6.74,342
